,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
41,9,Allen Iverson,26,PHI,0.0,29.0,1260,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126,0.7185354691075514,0.10297482837528603,0.12585812356979403,0.06407322654462241,0.004576659038901602,1.0160183066361554,2002
42,10,Ben Wallace,27,DET,0.0,24.0,1260,0.019,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,0.20821917808219176,0.3561643835616438,0.03835616438356164,0.04657534246575342,0.0958904109589041,0.7452054794520546,2002
43,11,Paul Pierce,24,BOS,0.0,22.0,1260,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,0.442,0.404,0.809,12.9,0.187,0.6476426799007445,0.17121588089330028,0.07940446650124071,0.04714640198511166,0.02481389578163772,0.9702233250620349,2002
44,12,Kevin Garnett,25,MIN,0.0,17.0,1260,0.013,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194,0.5408163265306122,0.3086734693877551,0.1326530612244898,0.03061224489795918,0.04081632653061224,1.0535714285714286,2002
45,13,Michael Jordan,38,WAS,0.0,16.0,1260,0.013,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075,0.6561604584527221,0.16332378223495703,0.1489971346704871,0.040114613180515755,0.011461318051575933,1.0200573065902578,2002
46,14,Steve Nash,27,DAL,0.0,5.0,1260,0.004,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9,0.167,0.5173410404624277,0.08959537572254335,0.22254335260115607,0.017341040462427744,0.0,0.846820809248555,2002
47,15,Jerry Stackhouse,27,DET,0.0,3.0,1260,0.002,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8,0.104,0.6062322946175638,0.11614730878186968,0.1501416430594901,0.028328611898017,0.0141643059490085,0.9150141643059491,2002
48,16,Mike Bibby,23,SAC,0.0,1.0,1260,0.001,80,33.2,13.7,2.8,5.0,1.1,0.2,0.453,0.37,0.803,6.3,0.113,0.4126506024096385,0.08433734939759036,0.1506024096385542,0.03313253012048193,0.006024096385542168,0.6867469879518071,2002
49,16,Elton Brand,22,LAC,0.0,1.0,1260,0.001,80,37.8,18.2,11.6,2.4,1.0,2.0,0.527,0.0,0.742,13.6,0.216,0.4814814814814815,0.3068783068783069,0.06349206349206349,0.026455026455026457,0.052910052910052914,0.9312169312169313,2002
50,16,Peja Stojaković,24,SAC,0.0,1.0,1260,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179,0.5683646112600537,0.14209115281501342,0.06702412868632708,0.02949061662198392,0.005361930294906167,0.8123324396782843,2002
51,1,Tim Duncan,26,SAS,60.0,962.0,1190,0.808,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,0.5928753180661578,0.32824427480916035,0.09923664122137404,0.017811704834605598,0.07379134860050891,1.1119592875318067,2003
52,2,Kevin Garnett,26,MIN,43.0,871.0,1190,0.732,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225,0.5679012345679012,0.3308641975308642,0.14814814814814814,0.0345679012345679,0.03950617283950617,1.1209876543209876,2003
53,3,Kobe Bryant,24,LAL,8.0,496.0,1190,0.417,82,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,0.7228915662650602,0.16626506024096385,0.14216867469879518,0.05301204819277109,0.01927710843373494,1.1036144578313254,2003
54,4,Tracy McGrady,23,ORL,4.0,427.0,1190,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,0.8147208121827412,0.1649746192893401,0.13959390862944163,0.04314720812182741,0.020304568527918784,1.1827411167512691,2003
55,5,Shaquille O'Neal,30,LAL,3.0,126.0,1190,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0.0,0.622,13.2,0.25,0.7275132275132276,0.29365079365079366,0.08201058201058202,0.015873015873015872,0.06349206349206349,1.1825396825396826,2003
56,6,Allen Iverson,27,PHI,0.0,83.0,1190,0.07,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,0.6494117647058824,0.09882352941176471,0.12941176470588237,0.06352941176470589,0.004705882352941177,0.9458823529411765,2003
57,7,Dirk Nowitzki,24,DAL,0.0,43.0,1190,0.036,80,39.0,25.1,9.9,3.0,1.4,1.0,0.463,0.379,0.881,16.1,0.249,0.6435897435897436,0.25384615384615383,0.07692307692307693,0.035897435897435895,0.02564102564102564,1.035897435897436,2003
